id;title;original_language;release_date;popularity;vote_average;runtime;genre_names;;;
73;Godzilla Raids Again;ja;24/04/1955;15.389;6;82;Action, Adventure, Drama, Horror, Science Fiction, Thriller;;;
74;The Reaping;en;05/04/2007;12.386;5.7;99;Horror;;;
75;Hostel;en;17/09/2005;50.839;5.9;94;Horror;;;
76;Hostel: Part II;en;08/06/2007;49.793;5.8;93;Horror;;;
77;Monster Man;en;30/07/2003;5.23;6;95;Horror;;;
78;Re-Animator;en;18/10/1985;17.048;7;86;Comedy, Horror, Science Fiction;;;
79;The Devil's Rejects;en;22/07/2005;16.424;6.8;107;Crime, Drama, Horror;;;
80;Anatomy;de;03/02/2000;8.708;6;103;Horror, Thriller;;;
81;Anatomy 2;de;23/11/2003;6.135;5.6;101;Horror, Thriller;;;
82;Death Machine;en;23/12/1994;5.76;5.7;117;Action, Horror, Science Fiction, Thriller;;;
83;Inland Empire;en;06/09/2006;11.612;7.1;180;Drama, Fantasy, Horror, Mystery;;;
84;The Devil's Advocate;en;17/10/1997;35.073;7.4;144;Drama, Horror, Mystery, Thriller;;;
85;In My Skin;fr;04/12/2002;6.993;6;93;Drama, Horror;;;
86;The Legend of Boggy Creek;en;01/08/1972;4.14;5;87;Drama, Horror, Mystery;;;
87;Rise: Blood Hunter;en;28/04/2007;9.403;5.1;97;Action, Adventure, Horror, Thriller;;;
88;The Penalty King;en;07/11/2006;0.971;6;90;Comedy, Drama, Horror;;;
89;Doctor Mordrid;en;02/11/1992;4.156;5.8;72;Action, Fantasy, Horror, Science Fiction, Thriller;;;
90;Twin Peaks: Fire Walk with Me;en;03/06/1992;26.068;7.3;135;Drama, Horror, Mystery;;;
91;The Others;en;02/08/2001;27.543;7.6;101;Horror, Mystery, Thriller;;;
92;eXistenZ;en;14/04/1999;23.31;6.8;97;Action, Horror, Science Fiction, Thriller;;;
93;My Name Is Bruce;en;01/10/2007;6.494;5.9;86;Comedy, Fantasy, Horror;;;
94;The Grudge;en;22/10/2004;44.825;5.9;92;Horror, Mystery, Thriller;;;
95;The Grudge 2;en;12/10/2006;22.217;5.5;102;Horror, Thriller;;;
96;The Grudge 3;en;12/05/2009;18.813;5.4;90;Horror, Mystery, Thriller;;;
97;Planet Terror;en;06/04/2007;34.376;6.6;105;Action, Horror, Thriller;;;
98;The Gift;en;16/03/2000;16.743;6.4;112;Drama, Horror, Mystery, Thriller;;;
99;Halloween;en;31/08/2007;97.161;6.2;109;Horror;;;
100;Amsterdamned;nl;11/02/1988;8.74;6.2;114;Action, Horror, Thriller;;;
101;Gappa, the Triphibian Monster;ja;22/04/1967;5.716;5.1;84;Action, Horror, Science Fiction;;;
102;Requiem;fr;28/12/2001;2.696;4.6;98;Action, Horror, Thriller;;;
103;Berlin Snuff;en;01/01/1995;0.6;5;33;Comedy, Horror;;;
104;Man with the Screaming Brain;en;03/04/2005;6.071;5.2;90;Comedy, Horror, Science Fiction;;;
105;The Dark Side of The Moon;en;30/05/1990;3.955;5;96;Action, Horror, Science Fiction, Thriller;;;
106;Attack of the Killer Tomatoes!;en;01/10/1978;7.929;4.9;87;Comedy, Horror, Science Fiction;;;
107;Within the Woods;en;30/10/1978;2.886;6;32;Horror;;;
108;My Mom's a Werewolf;en;11/11/1989;6.65;4.5;90;Comedy, Horror;;;
109;Nightwatch;en;31/01/1997;13.709;6.1;102;Drama, Horror, Mystery, Thriller;;;
110;Day Watch;ru;01/01/2006;17.544;6.1;145;Action, Fantasy, Horror, Thriller;;;
111;Jacob's Ladder;en;02/11/1990;13.003;7.4;113;Drama, Horror, Mystery;;;
112;The Collector of Brains;fr;07/01/1981;0.84;6;93;Horror, Science Fiction, TV Movie;;;
113;The Mothman Prophecies;en;25/01/2002;16.178;6.2;119;Drama, Horror, Mystery;;;
114;In the Mouth of Madness;en;03/02/1995;15.596;7.2;95;Horror, Mystery, Thriller;;;
115;What Lies Beneath;en;21/07/2000;15.747;6.4;130;Drama, Horror, Mystery, Thriller;;;
116;House of 1000 Corpses;en;11/04/2003;30.568;6.2;89;Crime, Horror;;;
117;The Blair Witch Project;en;14/07/1999;46.286;6.3;81;Horror, Mystery;;;
118;Sleepy Hollow;en;19/11/1999;50.681;7.2;105;Drama, Fantasy, Horror, Mystery, Thriller;;;
119;Ringu;ja;30/01/1998;27.596;7.1;96;Horror, Thriller;;;
120;Alraune;de;22/10/1952;3.366;5.5;92;Drama, Horror, Romance, Science Fiction;;;
121;Appetite;en;12/08/1998;2.414;2.7;97;Horror, Thriller;;;
122;One on Top of the Other;it;15/08/1969;3.204;6.7;108;Horror, Mystery, Thriller;;;
123;Abbott and Costello Meet Dr. Jekyll and Mr. Hyde;en;01/08/1953;5.817;6.6;76;Comedy, Horror, Science Fiction;;;
124;The Two Faces of Dr. Jekyll;en;24/10/1960;8.953;6.3;88;Horror, Romance, Science Fiction;;;
125;The Doctor's Horrible Experiment;fr;;;;;;;;
126;Dr. Jekyll and Mr. Hyde;en;07/03/1973;1.871;6;90;Horror, Science Fiction;;;
127;Jekyll and Hyde... Together Again;en;10/11/1982;6.093;5.4;87;Comedy, Horror, Science Fiction;;;
128;Mary Shelley's Frankenstein;en;04/11/1994;13.633;6.4;123;Drama, Horror, Romance, Science Fiction;;;
129;Yella;de;13/09/2007;6.232;6.2;89;Drama, Horror, Romance, Thriller;;;
130;Frankenstein;en;13/06/1993;1.301;4.7;117;Horror, Science Fiction, TV Movie;;;
131;Flesh for Frankenstein;en;30/11/1973;7.259;5.8;95;Horror;;;
132;Eye of the Devil;en;18/11/1966;3.983;6.2;96;Crime, Horror, Mystery;;;
133;The Fearless Vampire Killers;en;01/02/1967;12.053;7.1;108;Comedy, Horror;;;
134;Frankenstein;en;09/10/2004;5.31;4.7;88;Drama, Horror, Mystery, Science Fiction, TV Movie;;;
135;Monster of Frankenstein;ja;27/07/1981;3.191;5.5;98;Animation, Horror, TV Movie;;;
136;Frankenstein;en;27/12/1984;2.142;4;67;Horror, Science Fiction, Thriller, TV Movie;;;
137;Frankenstein;en;16/01/1973;1.757;5.4;180;Horror, Science Fiction, TV Movie;;;
138;Frankenstein Reborn;en;28/08/2005;3.924;5.5;84;Horror, Science Fiction, Thriller;;;
139;Frankenstein;en;01/01/1987;0.6;0;46;Family, Horror, TV Movie;;;
140;Frankenstein Unbound;en;02/11/1990;8.886;5.5;82;Horror, Science Fiction;;;
141;Frankenstein Must Be Destroyed;en;22/05/1969;5.938;6.7;98;Horror, Science Fiction;;;
142;The Curse of Frankenstein;en;20/05/1957;9.196;6.8;83;Horror, Science Fiction;;;
143;Frankenstein Created Woman;en;15/03/1967;6.769;6.5;92;Horror, Science Fiction;;;
144;Frankenstein: The True Story;en;19/09/1974;3.185;7.5;123;Drama, Horror, Science Fiction;;;
145;Frankenstein and the Monster from Hell;en;01/04/1974;6.247;6.1;93;Horror, Science Fiction;;;
146;Frankenstein 90;fr;01/08/1984;2.69;5.3;100;Comedy, Horror;;;
147;Lady Frankenstein;it;22/10/1971;4.432;5;99;Horror, Science Fiction;;;
148;The Evil of Frankenstein;en;08/05/1964;5.586;6.1;86;Horror, Science Fiction;;;
149;Dracula vs. Frankenstein;en;20/09/1971;2.723;4.8;91;Horror, Science Fiction;;;
150;The Revenge of Frankenstein;en;13/06/1958;6.815;6.8;90;Horror, Science Fiction;;;
151;Rock 'n' Roll Frankenstein;en;01/01/1999;1.344;4.4;88;Comedy, Horror, Music;;;
152;The Horror of Frankenstein;en;08/11/1970;4.53;5.8;95;Horror, Science Fiction;;;
153;The War of the Gargantuas;ja;29/07/1966;5.284;6.7;88;Action, Horror, Science Fiction;;;
154;The Frankenstein Files: How Hollywood Made a Monster;en;01/01/1999;1.43;8;45;Documentary, Horror;;;
155;Jesse James Meets Frankenstein's Daughter;en;09/04/1966;2.169;4.4;83;Crime, Horror, Science Fiction, Western;;;
156;Frankenstein General Hospital;en;01/03/1988;1.561;3.8;90;Comedy, Horror;;;
157;Big Monster on Campus;en;25/02/2000;5.626;5.5;92;Comedy, Horror;;;
158;Frankenstein's Castle of Freaks;it;19/02/1974;2.631;3.3;90;Horror;;;
159;Frankenstein Conquers the World;ja;08/08/1965;4.118;6.9;90;Horror, Science Fiction;;;
160;Blackenstein;en;01/01/1973;2.785;3.3;87;Action, Horror, Science Fiction;;;
161;The Erotic Rites of Frankenstein;fr;31/05/1973;1.107;4.7;94;Horror;;;
162;Frankenstein 1970;en;20/07/1958;2.596;5.1;83;Horror, Science Fiction;;;
163;Frankenstein Island;en;27/11/1981;2.614;2.5;97;Horror, Science Fiction;;;
164;Frankenstein Meets the Space Monster;en;22/09/1965;2.433;4.4;79;Horror, Science Fiction;;;
165;Dracula, Prisoner of Frankenstein;es;17/10/1972;2.044;4.8;88;Horror;;;
166;The Vindicator;en;14/02/1986;4.368;4.5;93;Action, Horror, Science Fiction;;;
167;Terror of Frankenstein;en;01/01/1977;1.823;5.7;92;Horror, Science Fiction;;;
168;Tales of Frankenstein;en;01/01/1958;1.826;5.5;28;Drama, Horror, Science Fiction;;;
169;She's Alive! Creating the Bride of Frankenstein;en;01/01/1999;2.858;7.4;39;Documentary, Horror;;;
170;Santo vs. Frankenstein's Daughter;es;10/08/1972;0.938;7.6;97;Horror, Science Fiction;;;
171;Frankenstein vs. the Creature from Blood Cove;en;04/10/2005;2.492;2;90;Horror, Science Fiction;;;
172;I Was a Teenage Frankenstein;en;23/11/1957;3.664;5.2;74;Horror, Science Fiction;;;
173;No Telling;en;;;;;;;;
174;The Projected Man;en;01/01/1966;3.007;4.8;77;Horror, Science Fiction;;;
175;Santo and Blue Demon vs. Dr. Frankenstein;es;31/10/1974;1.458;6.3;95;Action, Horror;;;
176;La Sangre de Frankenstein;en;03/10/2002;1.091;0;74;Comedy, Horror;;;
177;Assignment Terror;es;24/02/1970;2.923;5;87;Horror, Science Fiction;;;
178;Monster Mash: The Movie;en;01/01/1995;1.973;4.5;83;Comedy, Horror;;;
179;Mistress Frankenstein;en;02/10/2000;2.326;4.4;80;Comedy, Fantasy, Horror;;;
180;Lust for Frankenstein;en;01/01/1998;1.712;1.5;82;Horror;;;
181;Frankenstein '80;en;12/12/1972;1.657;4.2;85;Horror, Science Fiction;;;
182;Edison's Frankenstein;en;;;;;;;;
183;Dr. Frankenstein on Campus;en;10/04/1970;0.6;5.3;83;Horror;;;
184;Frankenstein, the Vampire and Company;es;08/02/1962;1.081;4.5;76;Comedy, Horror, Science Fiction;;;
185;Frankenstein: Italian Style;it;22/11/1975;1.037;2.4;89;Comedy, Horror;;;
186;Frankenstein & the Werewolf Reborn!;en;01/01/2000;1.412;3.7;92;Horror;;;
187;Frankenstein Reborn!;en;01/01/1998;1.73;4.4;46;Action, Horror;;;
188;Frankenstein's Grandson Moses - Version Changes;pt;22/06/1989;0.952;0;40;Horror;;;
189;Boy Frankenstein;en;01/01/1998;0.6;7;9;Horror;;;
190;The Horrible Sexy Vampire;es;07/01/1971;0.985;4.1;90;Horror;;;
191;My Friend Frankenstein;tr;01/01/1975;1.08;6.3;80;Comedy, Horror, Science Fiction;;;
192;Return from Death: Frankenstein 2000;en;01/01/1991;0.993;3.8;93;Horror;;;
193;Orlak, the Hell of Frankenstein;es;08/12/1960;2.227;5;103;Horror, Science Fiction;;;
194;El último Frankenstein;en;01/01/2004;0.6;0;17;Horror;;;
195;The Infernal Trio;fr;22/05/1974;2.626;5.6;107;Comedy, Crime, Horror;;;
196;The Face of Fu Manchu;en;06/08/1965;3.623;6.1;96;Crime, Horror, Thriller;;;
197;The Blood of Fu Manchu;en;23/08/1968;2.829;4.7;92;Adventure, Crime, Horror, Science Fiction, Thriller;;;
198;The Castle of Fu Manchu;en;29/05/1969;4.099;3.9;98;Adventure, Crime, Horror, Thriller;;;
199;The Fiendish Plot of Dr. Fu Manchu;en;08/08/1980;3.364;4.7;108;Comedy, Horror;;;
200;The Broken;en;15/11/2008;7.813;5.4;93;Drama, Horror, Thriller;;;
