id;title;original_language;release_date;popularity;vote_average;runtime;genre_names;;;
10038;San Franpsycho;en;10/10/2006;1.078;1.5;106;Horror, Thriller;;;
10039;Pontianak Menjerit;en;16/01/2005;0.752;5;105;Horror;;;
10040;Death Water;ja;26/05/2006;0.6;6.7;101;Drama, Horror, Mystery;;;
10041;The Hound of the Baskervilles;en;12/02/1972;1.513;5.7;74;Crime, Horror, Mystery, TV Movie;;;
10042;Stem Cell;en;19/04/2009;1.525;0;86;Horror, Science Fiction;;;
10043;Oh My Ghost;th;30/09/2009;0.992;5.5;89;Comedy, Horror;;;
10044;Oh My Ghost 3;th;23/10/2012;1.057;6.2;98;Comedy, Horror;;;
10045;Wor;th;16/07/2008;0.962;5.1;85;Comedy, Horror;;;
10046;Two Heads A Body;en;31/08/2004;0.663;5;85;Comedy, Horror;;;
10047;The Troop of Ghost;th;19/02/2004;0.6;6;93;Comedy, Horror;;;
10048;The Fairy and the Devil;zh;01/01/1982;0.6;0;90;Action, Adventure, Fantasy, Horror;;;
10049;Afrikanisches Schnitzel;de;20/03/2010;0.6;4;0;Comedy, Horror;;;
10050;Avalanche Sharks;en;01/01/2014;5.456;3.4;82;Action, Horror, Science Fiction;;;
10051;Congkak;ms;17/04/2008;0.622;6;86;Horror;;;
10052;The Ravaged House: Zoroku's Disease;ja;04/12/2004;0.633;0;63;Horror;;;
10053;Death Train;ja;04/12/2004;1.371;1;54;Horror;;;
10054;Crystal Force;en;11/01/1990;1.062;4;82;Horror;;;
10055;Here Come the Munsters;en;11/01/1995;8.04;5.2;96;Comedy, Family, Horror;;;
10056;Yambaó;es;25/12/1957;0.674;4.3;85;Horror, Music, Romance;;;
10057;The French Doors;en;11/04/2002;0.6;7.5;13;Horror;;;
10058;Dead Inn;en;11/01/1997;1.217;2;86;Horror;;;
10059;Loft;de;28/06/1985;0.966;4.4;81;Drama, Horror, Thriller;;;
10060;The Devil's Stairway;ko;11/07/1964;0.6;6.6;108;Horror, Thriller;;;
10061;Ghost Station;th;04/04/2007;1.041;5.5;102;Comedy, Horror;;;
10062;Ghost In-Law;th;13/02/2008;0.682;5.7;91;Comedy, Horror;;;
10063;The Gluttonous Fear;th;30/09/2006;0.6;5;98;Horror;;;
10064;The Box;en;04/11/2013;0.6;5;88;Horror;;;
10065;The Beast;en;01/08/2004;0.874;6;93;Comedy, Horror;;;
10066;Diabolique;en;01/01/2014;0.613;5;60;Horror;;;
10067;Gergasi;en;01/01/1958;0.6;0;0;Horror;;;
10068;Silent but Deadly;en;06/11/2012;0.683;4;99;Comedy, Horror;;;
10069;Production Hell;en;12/01/2011;0.668;0.8;60;Horror;;;
10070;Jangan Pandang Belakang Congkak 2;en;;;;;;;;
10071;Lake Noir;ru;19/06/2011;0.6;2;90;Drama, Horror;;;
10072;Jangan Tegur;en;09/04/2009;0.823;6;83;Horror;;;
10073;Martyris;es;21/08/2010;0.6;6.5;8;Animation, Horror;;;
10074;Locker 13;en;;;;;;;;
10075;Kala Malam Bulan Mengambang;ms;10/01/2008;0.607;0;110;Comedy, Horror, Mystery, Romance;;;
10076;To Save One's Self;en;01/01/2012;0.6;0;13;Drama, Horror;;;
10077;Dream Stalker;en;01/01/1991;0.68;3.3;90;Drama, Horror, Thriller;;;
10078;Daemon;en;;;;;;;;
10079;Gargoyle Girls;en;01/01/1998;0.6;0;84;Horror;;;
10080;Clay;en;26/10/2007;1.003;4;116;Horror;;;
10081;I Spit Chew on Your Grave;en;01/01/2008;0.6;4.3;58;Comedy, Horror;;;
10082;Devil Ivy;th;15/01/2006;0.6;6;86;Action, Fantasy, Horror;;;
10083;Ghost Variety;th;28/12/2005;0.6;6;104;Comedy, Horror;;;
10084;The Hotel;th;22/02/2002;0.6;6;113;Horror;;;
10085;Vesuvius;en;25/10/2012;0.6;6;10;Horror;;;
10086;Lady Dracula;de;15/03/1977;2.412;4.3;79;Comedy, Horror;;;
10087;The Capitol of the Dead;pt;02/08/2008;0.6;4.1;87;Horror;;;
10088;Annabelle;en;02/10/2014;68.243;5.7;99;Horror;;;
10089;Scream: Generations;en;06/01/2012;0.6;5;90;Horror;;;
10090;Creep;en;23/06/2014;22.994;6.4;82;Horror;;;
10091;Doll from Hell;ja;02/02/1996;0.6;4.5;76;Horror;;;
10092;Visitors from the Galaxy;sh;02/07/1981;1.954;3.8;82;Comedy, Horror, Science Fiction;;;
10093;Witch from Nepal;cn;27/02/1986;1.673;5.8;89;Action, Fantasy, Horror;;;
10094;The Legend of Snake;en;16/01/2008;0.6;5.5;86;Horror;;;
10095;Long Taek;en;16/01/2012;0.6;5;77;Horror;;;
10096;Chalawan Kraithong 2;en;17/01/2006;0.633;5;90;Horror;;;
10097;Savage Encounter;en;01/01/1980;0.664;4;86;Horror, Thriller;;;
10098;Bloodline;en;;;;;;;;
10099;The Witch;es;17/01/1954;3.089;6.4;90;Horror;;;
10100;Gorgonas;es;01/01/2004;1.4;7.3;14;Animation, Horror;;;
10101;The Daughter;en;17/01/2004;0.6;5;87;Horror, Thriller;;;
10102;Deader Country;en;01/10/2009;0.6;1;85;Horror;;;
10103;Secret Room No. 7;en;17/01/2005;0.6;6;101;Horror, Thriller;;;
10104;Nak;th;03/04/2008;1.2;8.5;95;Adventure, Animation, Comedy, Fantasy;;;
10105;Black Death;en;17/01/2004;0.6;4.5;83;Horror;;;
10106;Taxi Tonight 2;en;17/01/2010;0.6;6;88;Horror;;;
10107;Taxi Tonight;en;17/01/2004;0.6;5.5;91;Horror;;;
10108;The House of Pop 2008;th;17/01/2008;0.66;5.5;81;Comedy, Horror;;;
10109;The Frenchman's Garden;es;04/06/1978;1.386;6.1;93;Drama, Horror;;;
10110;Klown Kamp Massacre;en;03/05/2010;1.115;5.5;84;Horror;;;
10111;The Master Demon;en;10/06/1991;0.697;5;81;Action, Horror;;;
10112;Fortune Cookie Prophecies;en;01/02/2011;0.713;5.8;113;Drama, Horror, Mystery;;;
10113;Zombiefication;de;31/08/2010;0.6;0;7;Comedy, Fantasy, Horror;;;
10114;Mad God: Part 1;en;14/01/2014;3.179;6;11;Animation, Fantasy, Horror;;;
10115;Vampire;th;01/01/2008;0.6;6.4;18;Horror, Mystery;;;
10116;The Return;en;28/10/1973;0.772;5.7;30;Horror;;;
10117;Doppelgänger;pt;19/05/2012;0.6;6.2;25;Fantasy, Horror;;;
10118;The Strangers;en;10/06/1998;1;1;90;Fantasy, Horror;;;
10119;Scream Dream;en;01/01/1989;1.4;0;69;Comedy, Horror, Thriller;;;
10120;Interview with Terror;en;10/04/1987;0.6;0;94;Horror;;;
10121;Dream a Little Evil;en;01/01/1990;1.019;4;85;Horror;;;
10122;Pretty Kill;en;27/03/1987;0.6;1.5;95;Crime, Horror;;;
10123;Nightlife;en;23/08/1989;0.607;4.1;93;Comedy, Horror, TV Movie;;;
10124;The Understudy: Graveyard Shift II;en;01/11/1988;0.6;2.7;90;Horror;;;
10125;The Roommates;en;01/03/1973;1.957;5.1;87;Crime, Horror, Thriller;;;
10126;The Mutagen;en;02/01/1988;0.6;0;0;Horror, Science Fiction;;;
10127;The Black Magic;en;05/05/2002;0.6;0;87;Horror;;;
10128;Strange Tales;en;21/01/1986;0.6;0;58;Comedy, Horror;;;
10129;Final Destinations;en;21/01/1990;0.6;0;74;Horror;;;
10130;The Brides of Sodom;en;28/01/2013;2.861;2.7;119;Fantasy, Horror, Science Fiction;;;
10131;Make Me Shudder;th;03/10/2013;2.975;6;99;Comedy, Horror;;;
10132;Tokolosh;en;;;;;;;;
10133;So Shall You Reap;en;17/02/1999;0.6;0;103;Comedy, Horror;;;
10134;The Black Water Vampire;en;21/01/2014;3.877;4.5;82;Horror, Mystery, Thriller;;;
10135;A Girl Walks Home Alone at Night;en;21/11/2014;11.19;6.8;99;Horror, Romance;;;
10136;Camp Dread;en;15/04/2014;3.093;5.2;90;Horror, Mystery, Thriller;;;
10137;American Weapon;en;16/01/2014;15.455;4.4;0;Horror, Thriller;;;
10138;Do You Like My Basement?;en;21/01/2014;1.698;3.5;87;Comedy, Horror, Thriller;;;
10139;Paku;ms;11/12/2013;0.6;5;87;Family, Horror, Thriller;;;
10140;Murder by Night;en;20/07/1989;0.84;5;91;Horror, Mystery, Thriller;;;
10141;The Lightning Incident;en;12/09/1991;1.768;4;86;Drama, Horror, Science Fiction, Thriller;;;
10142;The House of Him;en;22/02/2014;1.527;5.7;85;Horror;;;
10143;Portrait in Terror;en;01/01/1965;1.518;4.8;81;Crime, Horror, Mystery, Thriller;;;
10144;Honeymoon of Horror;en;05/09/1964;0.6;0;82;Horror, Thriller;;;
10145;Code Red;en;24/09/2013;3.804;4.5;91;Horror;;;
10146;Filthy McNastier: Maximum Dousche;en;17/05/2005;0.6;3.5;106;Comedy, Horror;;;
10147;Filthy McNastiest: Apocalypse Fuck!;en;19/06/2005;0.63;0;63;Comedy, Horror;;;
10148;Another Me;en;15/11/2013;12.28;5.3;86;Drama, Horror, Mystery, Thriller;;;
10149;Malditos sean!;es;03/01/2013;0.6;6;120;Fantasy, Horror, Science Fiction;;;
10150;Community Service the Movie;en;21/07/2012;0.681;1;69;Horror;;;
10151;Vindication;en;26/05/2011;0.6;2.5;0;Horror;;;
10152;German Angst;de;24/01/2015;3.368;5.7;111;Action, Fantasy, Horror, Mystery;;;
10153;Beneath the Skin;en;27/01/1981;0.6;8.5;12;Horror;;;
10154;Jezebeth;en;01/06/2011;1.205;1.3;80;Horror;;;
10155;The Deadly Dream;en;26/09/1971;0.6;0;73;Drama, Horror, Science Fiction, TV Movie;;;
10156;Teeny-Tiny and the Witch Woman;cs;31/05/1980;0.6;6.2;14;Animation, Horror, Mystery;;;
10157;Chermin;ms;22/03/2007;0.6;7.5;100;Horror;;;
10158;A Pattern of Roses;en;29/12/1983;1.621;7;65;Drama, Horror, Mystery, TV Movie;;;
10159;Ghost's Love;zh;02/01/1993;0.926;0;85;Fantasy, Horror, Romance;;;
10160;The Devil and Miss Sarah;en;04/12/1971;0.602;6;90;Horror, Western;;;
10161;Maneater;en;09/12/1973;0.6;0;74;Adventure, Drama, Horror, Thriller, TV Movie;;;
10162;Locusts;en;09/10/1974;1.47;4.7;74;Drama, Horror, Thriller, TV Movie;;;
10163;Malevolence;en;29/01/2012;0.6;2;12;Horror;;;
10164;My Sight for Sore Eyes;en;30/12/2014;0.6;0;90;Horror, Thriller;;;
10165;Of the Flesh;tl;25/12/1983;1.257;6.8;112;Crime, Drama, Horror, Mystery;;;
10166;Midget Zombie Takeover;en;08/02/2013;1.908;5.3;73;Comedy, Horror;;;
10167;Scare Zone;en;10/09/2009;1.005;6;88;Horror;;;
10168;Pajama Nightmare;en;26/03/2013;0.856;0;64;Comedy, Horror, Science Fiction;;;
10169;Deadly Weekend;en;09/08/2013;3.806;2.9;82;Horror, Thriller;;;
10170;Lost in Detroit;en;06/12/2013;0.6;7;7;Horror, Thriller;;;
10171;Ghostline;en;;;;;;;;
10172;Buzzard;en;06/03/2015;4.743;5.3;97;Comedy, Crime, Drama, Horror;;;
10173;Housebound;en;04/09/2014;10.175;6.6;109;Comedy, Horror, Thriller;;;
10174;Night of Body's Model;ja;;;;;;;;
10175;I Never Left the White Room;en;01/01/2000;0.932;5;75;Horror;;;
10176;In Darkness We Fall;es;24/01/2014;9.015;5.7;76;Adventure, Horror;;;
10177;Gonger -  Das Böse kehrt zurück;de;25/01/2010;0.776;6.6;0;Horror;;;
10178;Demonic Umbrella;zh;01/01/1991;0.84;0;90;Fantasy, Horror;;;
10179;Diversion ...;en;30/09/1980;0.6;7;50;Horror, Thriller;;;
10180;Mutilation Mile;en;;;;;;;;
10181;Hannah House;en;22/06/2002;0.6;0;78;Horror;;;
10182;Torture Chamber;en;10/10/2013;3.291;3.5;90;Horror;;;
10183;Hell No;en;02/03/2013;0.6;7.6;3;Comedy, Horror;;;
10184;The Ruining;en;04/09/2004;0.6;1.8;90;Horror;;;
10185;Gong;en;24/08/2006;0.846;0;99;Horror, Thriller;;;
10186;To Have and to Hold;en;21/07/2001;0.669;6;13;Horror;;;
10187;The Scorpion's Sting;en;28/08/2013;0.6;3.8;22;Horror;;;
10188;Silent Death;es;01/01/1991;0.6;3.6;90;Horror;;;
10189;Bloodbath;es;22/10/1979;2.548;3.8;90;Drama, Fantasy, Horror, Thriller;;;
10190;Haunting of the Innocent;en;01/02/2014;2.979;3.4;90;Horror, Thriller;;;
10191;The Turnpike Killer;en;29/04/2009;1.38;4.5;88;Horror;;;
10192;Hysterical Psycho;en;29/04/2009;0.6;5;73;Horror;;;
10193;Night of the Flesh Eaters;en;01/10/2008;0.6;1;82;Comedy, Horror;;;
10194;Clearwater;en;10/06/2003;0.6;0;60;Horror, Thriller;;;
10195;The Samurai;de;08/02/2014;3.22;5.5;80;Fantasy, Horror, Thriller;;;
10196;Sucker;en;29/12/2013;2.018;5;77;Action, Adventure, Horror, Science Fiction;;;
10197;Panzer Chocolate;en;22/11/2013;1.325;3.6;84;Horror;;;
10198;Rapine;es;14/05/1975;2.124;6.3;114;Crime, Horror, Thriller;;;
10199;Motel;es;29/03/1984;0.6;4.7;90;Crime, Drama, Horror, Thriller;;;
10200;Blood Shed;en;05/02/2014;7.226;3.8;100;Horror;;;
10201;Queen Doll;es;08/11/1972;0.99;5;99;Horror;;;
10202;The Penny Dreadful Picture Show;en;;;;;;;;
10203;Among the Living;fr;10/03/2014;5.699;5.2;88;Horror, Mystery, Thriller;;;
10204;At the Devil's Door;en;09/03/2014;6.256;4.8;91;Horror;;;
10205;Honeymoon;en;12/09/2014;19.58;5.4;88;Horror, Science Fiction;;;
10206;Late Phases;en;21/11/2014;8.595;5.9;95;Horror, Thriller;;;
10207;Starry Eyes;en;29/07/2014;10.031;6;98;Drama, Horror;;;
10208;Till Death Do We Scare;cn;21/10/1982;0.988;5.3;91;Comedy, Horror;;;
10209;The Ghost Lovers;zh;01/12/1973;0.6;6;90;Horror, Romance;;;
10210;Fields of the Dead;en;04/02/2014;2.637;3.2;84;Horror;;;
10211;Stray Dogs;ko;23/01/2014;0.601;5.3;99;Horror;;;
10212;Tape_13;en;11/02/2014;1.441;3.3;81;Horror, Mystery;;;
10213;Stung;en;03/07/2015;8.903;5.3;87;Comedy, Horror, Science Fiction;;;
10214;Zombeavers;en;20/10/2014;22.944;4.9;85;Action, Comedy, Horror;;;
10215;Last Rites;pt;31/08/2010;0.6;3;20;Horror;;;
10216;Mistério na Colônia;pt;01/01/2003;0.6;2.5;12;Comedy, Horror;;;
10217;The Little Cotton Girl;pt;01/01/2002;0.6;3.3;8;Fantasy, Horror;;;
10218;No Return;en;28/07/2003;1.246;7;106;Horror, Thriller;;;
10219;The Chair;en;08/10/1988;1.144;3.3;100;Comedy, Horror, Mystery;;;
10220;The Wrath Of Vajra;cn;24/09/2013;8.4;5.6;115;Action, Fantasy, Horror;;;
10221;The Mask of Love;en;29/06/2012;0.6;0;100;Horror;;;
10222;Dabbe: The Possession;tr;02/08/2013;6.665;6.1;134;Horror;;;
10223;Haunted;en;31/03/2013;1.57;5.4;93;Horror;;;
10224;Turtle Vision;ja;20/07/1991;1.4;5.8;60;Drama, Horror;;;
10225;Thou Wast Mild and Lovely;en;07/02/2014;2.673;5.3;78;Drama, Horror, Thriller;;;
10226;Reel Zombies;en;04/10/2008;1.339;4.8;89;Action, Comedy, Horror;;;
10227;Knock;ko;29/11/2012;0.904;5;100;Horror, Romance, TV Movie;;;
10228;Hashima Project;th;31/10/2013;2.486;5.3;121;Horror, Thriller;;;
10229;Kami Histeria;en;06/02/2014;1.697;4.3;90;Comedy, Horror;;;
10230;DV;en;30/01/2013;1.129;3;62;Horror;;;
10231;Axeman at Cutter's Creek;en;14/02/2013;1.4;3.4;105;Horror;;;
10232;Speak No Evil;en;24/05/2013;12.863;3.9;74;Horror;;;
10233;Rabid Love;en;19/04/2013;2.195;3.3;90;Horror, Thriller;;;
10234;The Aztec Box;en;31/10/2013;1.445;4.8;113;Horror;;;
10235;Harvesters;en;06/04/2001;0.621;5;89;Action, Horror, Thriller;;;
10236;Doorman;en;02/01/1986;1.426;0;84;Comedy, Crime, Horror, Mystery, Thriller;;;
10237;Don't Hug Me I'm Scared 2;en;08/01/2014;7.561;7.6;4;Animation, Fantasy, Horror, Music;;;
10238;Hooked Up;en;16/10/2013;1.522;3.8;78;Horror;;;
10239;I Was a Teenage Serial Killer;en;01/10/1993;0.7;5.5;27;Comedy, Horror;;;
10240;Ombis: Alien Invasion;en;18/05/2013;2.798;3.3;85;Action, Horror, Science Fiction, Thriller;;;
10241;The Ghostly Face;id;09/11/1973;0.6;4.5;85;Action, Crime, Drama, Horror;;;
10242;Ashes of Doom;en;04/01/1970;0.6;5.2;2;Comedy, Horror;;;
10243;Necroland;en;06/06/2020;0.612;0;0;Action, Drama, Horror, Mystery, Science Fiction;;;
10244;The Naked Beast;es;25/03/1971;1.339;6.8;85;Horror;;;
10245;The Wolf Girl;th;01/01/1974;0.6;4.5;94;Horror;;;
10246;Lot254;en;26/08/2012;0.6;5.3;3;Drama, Fantasy, Horror;;;
10247;Demagogue;en;01/01/1998;0.6;4.5;90;Horror, Science Fiction;;;
10248;The Visitant;en;15/04/2014;1.509;4.3;90;Horror, Thriller;;;
10249;The Eyes of the Amaryllis;en;20/08/1982;0.6;0;93;Drama, Fantasy, Horror, Mystery, Thriller;;;
10250;Love Hurts;en;06/01/2009;0.6;5;6;Horror;;;
10251;Dead Kansas;en;29/05/2012;0.954;4.3;64;Comedy, Horror;;;
10252;The Trouble with Barry;en;15/02/2013;1.2;4;88;Comedy, Horror;;;
10253;The Crotchening;en;31/10/2004;0.6;0;80;Comedy, Horror;;;
10254;Burying the Ex;en;04/09/2014;13.193;5.5;89;Comedy, Horror;;;
10255;The Vampire Wino;es;16/02/1989;1.681;6.5;0;Comedy, Horror;;;
10256;Tales of the Dead;en;28/09/2010;1.217;8;75;Horror;;;
10257;Below Ground;en;19/06/2012;0.6;2;76;Horror;;;
10258;Indemnity: Rage of a Jealous Vampire;en;24/04/2012;0.904;3.5;51;Drama, Horror, Mystery, Thriller;;;
10259;By The Devil's Hands;en;01/01/2009;1.132;2;90;Horror;;;
10260;No Mercy No Future;de;;;;;;;;
10261;Deadly Sunday;en;;;;;;;;
10262;Muck;en;13/03/2015;5.761;3;99;Horror;;;
10263;Mécanix;fr;10/07/2003;0.6;5.7;70;Animation, Fantasy, Horror;;;
10264;Oh My Ghost;th;28/11/2013;1.161;5.4;104;Comedy, Horror;;;
10265;Red Krokodil;en;26/10/2012;0.918;6.4;82;Horror;;;
10266;Till Death Do Us Laugh;cn;24/11/1996;1.018;3.5;90;Comedy, Horror;;;
10267;Whiskey Mountain;en;01/07/1977;1.176;5;95;Adventure, Horror;;;
10268;Mania;en;26/02/1986;0.62;5;87;Horror;;;
10269;As Above, So Below;en;14/08/2014;44.415;6.7;93;Horror, Thriller;;;
10270;Mystery of the Old House;id;01/01/1987;0.6;0;0;Horror;;;
10271;Cut!;en;;;;;;;;
10272;Tall Shadows of the Wind;fa;01/01/1979;0.816;4.9;110;Drama, Horror;;;
10273;Rape Zombie: Lust of the Dead 2;ja;23/03/2013;15.057;4.5;67;Comedy, Horror;;;
10274;Vampie;en;14/02/2014;0.935;0;83;Comedy, Horror;;;
10275;The Horror Convention Massacre;en;13/08/2007;0.67;4;66;Horror;;;
10276;Pagpag: Siyam na Buhay;tl;25/12/2013;1.698;7;105;Horror;;;
10277;Inbred Redneck Alien Abduction;en;30/11/2004;0.6;3.7;90;Comedy, Horror, Science Fiction;;;
10278;Mana;en;19/02/2014;1.4;1;105;Drama, Fantasy, Horror;;;
10279;Hotel Inferno;en;26/12/2013;4.693;5.1;80;Action, Crime, Horror, Thriller;;;
10280;The Rhythm of Crime;sh;01/01/1981;0.808;5.7;89;Crime, Drama, Horror, Mystery, Science Fiction, Thriller;;;
10281;Purgatory;es;28/03/2014;6.044;4.4;83;Horror, Mystery;;;
10282;The Womb;es;13/02/2014;0.6;6;82;Horror, Thriller;;;
10283;The Pool;en;01/05/2014;2.165;5;76;Horror;;;
10284;Kai-Ki: Tales of Terror from Tokyo;ja;04/09/2010;0.666;3.5;120;Horror;;;
10285;Perawan Malam;en;01/01/1988;1.09;0;100;Comedy, Horror;;;
10286;Vengeful Heart;vi;14/02/2014;0.715;8.4;97;Comedy, Horror, Thriller;;;
10287;Darr @ the Mall;hi;21/02/2014;1.625;4.3;124;Horror, Thriller;;;
10288;Angustia;en;13/11/2013;0.662;0;0;Crime, Drama, History, Horror;;;
10289;Hunger;sr;01/10/2002;0.6;0;55;Horror, Mystery;;;
10290;Love Letter of a Murderer;es;13/04/1972;1.02;5.5;85;Drama, Horror;;;
10291;Sumpahan Puaka;en;20/10/2011;0.6;0;80;Horror;;;
10292;Dead Walkers: Rise of the 4th Reich;en;01/04/2014;1.808;2;90;Horror;;;
10293;Julie Ganapathi;ta;01/02/2003;0.6;8;0;Horror;;;
10294;The Veil;en;21/04/2016;8.853;4.9;93;Horror;;;
10295;Dark House;en;14/03/2014;5.77;5;102;Horror, Thriller;;;
10296;Blood Punch;en;21/02/2014;5.565;6.4;104;Horror, Thriller;;;
10297;Senjakala;en;14/04/2011;0.6;6;90;Horror;;;
10298;Time of Her Life;en;03/03/2006;1.415;6.7;96;Fantasy, Horror, Mystery, Romance;;;
10299;It's Not Good for a Man to Be Alone;es;01/01/1973;1.118;6;88;Drama, Horror;;;
10300;Toyol;en;01/01/1981;0.6;0;100;Horror;;;
10301;The Lock In;en;09/01/2014;1.443;3.1;88;Drama, Fantasy, Horror;;;
10302;The Darkness;en;13/05/2016;11.849;4.8;92;Horror, Thriller;;;
10303;Blood Slaves of the Vampire Wolf;en;01/01/1996;0.6;2;105;Fantasy, Horror;;;
10304;Zombie! vs. Mardi Gras;en;09/09/1999;0.621;3;72;Comedy, Horror;;;
10305;Night of the Hell Hamsters;en;23/09/2006;0.6;7.2;16;Comedy, Horror;;;
10306;The Boy;en;14/08/2015;7.807;5.9;105;Drama, Horror, Thriller;;;
10307;Goosebumps;en;05/08/2015;72.726;6.3;103;Adventure, Comedy, Horror;;;
10308;Piranha Sharks;en;08/05/2014;5.744;6.4;79;Comedy, Horror;;;
10309;Shaolin vs. Vampire;ja;23/08/1988;1.142;4.3;90;Action, Comedy, Fantasy, Horror;;;
10310;Sadako 3D 2;ja;30/08/2013;5.599;4.9;96;Horror;;;
10311;Vanished: Age 7;ja;20/08/2011;0.773;7.5;84;Horror, Thriller;;;
10312;Puss Bucket;en;07/03/1991;0.6;0;105;Comedy, Horror, Music;;;
10313;Homewrecker;en;10/03/1992;0.785;4.3;83;Horror, Science Fiction, TV Movie;;;
10314;Axed;en;04/03/2010;0.6;0;30;Horror;;;
10315;Abandoned Souls;en;01/01/2010;1.231;3.9;105;Horror, Thriller;;;
10316;Beneath;en;08/10/2013;20.021;5.4;89;Horror;;;
10317;Feedback;en;01/03/2014;0.6;0;30;Drama, Horror;;;
10318;The Hospital;en;15/02/2013;3.926;3.1;75;Horror;;;
10319;Mole;en;15/05/2001;0.97;3;81;Action, Horror;;;
10320;Hysteria;en;01/10/1997;0.974;4.3;100;Horror, Science Fiction, Thriller;;;
10321;The Damned;en;17/10/2013;5.422;5.6;87;Horror, Mystery, Thriller;;;
10322;Dead Line;en;24/09/2007;0.6;2;90;Horror;;;
10323;The Viewer;en;29/04/2009;0.6;5;15;Horror, Thriller;;;
10324;Programmed to Kill;en;05/04/1987;2.278;3.4;91;Action, Horror, Science Fiction;;;
10325;Alien Abduction;en;04/04/2014;20.702;5.7;85;Horror, Science Fiction, Thriller;;;
10326;Mischief Night;en;;;;;;;;
10327;A Casa Vazia;pt;07/03/2012;0.6;0;0;Horror;;;
10328;The Wednesday Children;en;01/01/1973;0.6;0;80;Horror;;;
10329;Vera;es;16/05/2003;1.097;4.8;86;Drama, Horror, Mystery, Science Fiction;;;
10330;Moonlight Boy;zh;15/09/1993;1.431;5.8;95;Fantasy, Horror;;;
10331;Alerta: recuento de cadáveres;es;13/08/2014;0.6;5.3;0;Action, Horror;;;
10332;The Game;en;01/01/1989;0.71;4.8;97;Horror, Thriller;;;
10333;Liliam, a Suja;pt;01/01/1981;0.71;3.5;78;Drama, Horror, Thriller;;;
10334;Blood Cousins;en;22/09/2012;0.664;4.8;83;Comedy, Drama, Horror, Thriller;;;
10335;Take This Lollipop;en;14/10/2011;1.4;5.6;3;Horror;;;
10336;House of the Damned;es;08/09/1974;0.966;4.8;94;Drama, Horror, Thriller;;;
10337;Rape;es;01/01/1976;1.057;5.5;77;Drama, Horror;;;
10338;Doctor;ko;20/06/2013;1.7;4.5;97;Action, Horror, Thriller;;;
10339;Beatriz;es;06/12/1976;0.779;4.4;85;Drama, Horror;;;
10340;Six Tickets to Hell;en;10/09/1981;0.632;0;90;Drama, Horror;;;
10341;Wrong Turn 6: Last Resort;en;22/08/2014;60.624;5.3;91;Horror;;;
10342;Cave of the Sharks;it;28/06/1978;1.545;4.3;90;Action, Adventure, Horror;;;
10343;Teluki;ms;01/01/2013;0.6;5;10;Horror;;;
10344;Ju-on: The Beginning of the End;ja;28/06/2014;4.12;6;91;Horror;;;
10345;Chasing the Devil;en;07/03/2014;2.68;4.1;84;Horror;;;
10346;Lost Vertigo;zh;28/12/2013;0.84;0;87;Horror;;;
10347;Horror Vacui;de;27/09/1984;0.71;5;85;Horror;;;
10348;The Poisoning;en;24/12/2013;1.325;3.5;84;Drama, Horror, Thriller;;;
10349;Bad Boys - Bad Toys;de;15/03/2007;1.378;0;80;Action, Comedy, Horror;;;
10350;Kiss My Blood;de;18/09/1998;0.6;0;85;Horror;;;
10351;GARO Side Story: The Tougen Flute;ja;20/07/2013;1.968;5.4;61;Action, Adventure, Horror;;;
10352;Atom the Amazing Zombie Killer;en;15/07/2012;1.649;5.7;80;Comedy, Horror;;;
10353;Within the Darkness;en;01/11/2013;0.6;3.8;84;Horror;;;
10354;Safe;ko;25/05/2013;0.6;0;13;Drama, Horror, Thriller;;;
10355;V-World Matrix;en;01/01/1999;0.621;1;75;Fantasy, Horror, Science Fiction;;;
10356;The Devil´s Weed;es;01/01/2013;0.6;0;2;Drama, Horror;;;
10357;The 13th Unit;en;01/02/2014;1.733;3.6;79;Horror, Science Fiction, Thriller;;;
10358;Dead on Appraisal;en;;;;;;;;
10359;Caleuche: The Call of the Sea;es;08/11/2012;0.61;4;100;Drama, Fantasy, Horror;;;
10360;Dr Jekyll and Mr Hyde;en;20/11/1980;1.044;6;115;Horror, Thriller;;;
10361;Hollywood Ghost Stories;en;24/09/1986;2.233;5.3;75;Documentary, Fantasy, Horror;;;
10362;Spirit in the Woods;en;15/03/2014;2.539;4;78;Horror, Mystery;;;
10363;Out of Focus;en;08/12/2012;1.124;6;25;Horror;;;
10364;Belly of the Wolf;en;11/05/2013;0.6;3.8;20;Horror;;;
10365;The Conjuring 2;en;08/06/2016;137.18;7.3;134;Horror, Thriller;;;
10366;Simon;en;16/07/2016;2.263;5.3;85;Drama, Horror, Thriller;;;
10367;Lights Out;sv;30/12/2013;5.423;7.3;3;Horror;;;
10368;Bloodless;en;28/02/2014;1.046;4.5;78;Horror;;;
10369;The Crypt;en;28/02/2014;1.486;3.5;98;Horror;;;
10370;Dolla Morte;en;11/07/2006;1.716;7;75;Comedy, Horror;;;
10371;Gothkill;en;12/05/2009;1.178;1;75;Horror;;;
10372;Dark Sister;en;18/03/2014;0.894;6;109;Horror;;;
10373;Sacred;id;03/09/2009;2.187;7.4;89;Horror;;;
10374;Frenzied;es;20/03/1990;0.866;3.1;96;Action, Adventure, Horror;;;
10375;The Desert;tr;20/03/1983;0.6;4;77;Action, Horror, Thriller;;;
10376;Vampire Girls;ja;17/06/2011;1.84;0;79;Drama, Horror;;;
